name,depth,formation,type,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Y
S2FSF-14,216,Om,"Limestone, dg, ma, brec, rhy",1.02,1.96,0.38,1.7,0.36,0.08,0.39,0.06,0.38,0.08,0.23,0.03,0.19,0.03,2.75
S2FSF-15,238.5,Om,"Limestone, mgr, ma, brec",0.93,1.8,0.35,1.61,0.37,0.08,0.38,0.06,0.35,0.07,0.21,0.03,0.18,0.02,2.56
S2FSF-16,268.5,Om,"Limestone, brec",0.69,1.28,0.24,1.08,0.24,0.07,0.26,0.04,0.22,0.05,0.14,0.02,0.12,0.02,1.54
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
