Sections,depth,"% 
of calcite","% 
of dolomite",Fe,Mn,Y,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,∑ REE+Y,DyN/SmNe,LaN/NdNe,Ce/Ce*,Pr/Pr*,"Y/Ho
(molar)","Sm/Nd
(moar)"
BW#1,-2.1,100,0,183.7,7.6,1.79,0.32,0.39,0.08,0.37,0.10,0.03,0.16,-,0.18,0.05,0.13,0.02,0.10,-,3.7,2.1,0.8,0.6,1.2,73.0,0.265
BW#1,-3.6,54.38,45.62,259.7,47.0,2.18,0.63,0.84,0.15,0.68,0.17,0.05,0.25,0.04,0.25,0.06,0.17,0.02,0.13,-,5.6,1.7,0.8,0.6,1.1,68.8,0.242
BW#1,-8.9,100,0,130.0,11.7,1.50,0.26,0.24,0.06,0.29,0.07,-,0.13,-,0.14,0.04,0.11,0.02,0.09,-,2.9,2.2,0.8,0.4,1.2,76.6,0.247
RWP#11 (M)  b,-3.8,100,0,139.5,4.5,1.21,0.18,0.19,0.05,0.21,0.06,-,0.14,-,0.12,0.03,0.10,0.01,0.07,-,2.4,2.5,0.8,0.5,1.3,78.5,0.260
RWP#11 (M)  b,-4.6,100,0,203.3,7.9,1.01,0.16,0.23,0.04,0.19,0.05,-,0.11,-,0.10,0.02,0.08,0.01,0.08,-,2.1,2.4,0.8,0.6,1.2,80.4,0.244
RWP#11 (M)  b,-6.7,100,0,188.7,15.9,1.17,0.31,0.34,0.07,0.31,0.06,-,0.13,-,0.12,0.03,0.09,0.01,0.06,-,2.7,2.2,0.9,0.5,1.1,76.9,0.194
