Sections,depth,"% 
of calcite","% 
of dolomite",Fe,Mn,Y,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,∑ REE+Y,DyN/SmNe,LaN/NdNe,Ce/Ce*,Pr/Pr*,"Y/Ho
(molar)","Sm/Nd
(moar)"
NSC#1,57.3,100,0,105.9,9.1,0.99,0.26,0.26,0.05,0.25,0.06,,0.13,,0.1,0.02,0.07,0.01,0.05,,2.3,1.9,0.9,0.5,1.1,75.5,0.238
NSC#1,60,100,0,108.8,8.3,0.9,0.28,0.28,0.06,0.26,0.06,,0.15,,0.11,0.03,0.08,0.01,0.06,,2.3,2.3,1,0.5,1.2,61.5,0.219
