Units,Sections,depth,"% 
of calcite","% 
of dolomite","Fe
 (ppm)","Mn
 (ppm)",Y,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,∑ REE+Y,DyN/SmNe,LaN/NdNe,Ce/Ce*,Pr/Pr*,"Y/Ho
(molar)","Sm/Nd
(moar)"
,BW#1,14.6,100,0,296.2,58.4,2.52,0.63,0.66,0.13,0.62,0.15,0.04,0.23,0.04,0.24,0.06,0.17,0.02,0.13,,5.6,1.9,0.9,0.5,1.1,82.6,0.228
,SQW#1,5.5,85,15,229.3,28.4,1.24,0.30,0.34,0.06,0.31,0.07,,0.11,,0.10,0.03,0.07,0.01,0.06,,2.7,1.7,0.9,0.6,1.1,90.1,0.230
